query_id,query,language,preprocessing_ms,embedding_ms,qdrant_connect_ms,dense_search_ms,bm25_ms,rrf_ms,reranker_ms,retrieval_latency_ms,generation_latency_ms,grounding_ms,total_latency_ms,fast_path_used,reranker_used
1,Manhattan project successful hone ke baad kya hua?,hi,0.13,24.27,0.0,2.09,0.07,0.02,2719.71,2746.16,1.2,0.21,2746.62,True,True
2,ఈ project యొక్క immediate impact ఏమిటి?,te,0.16,30.07,0.0,1.82,0.05,0.01,736.48,768.43,1.2,0.06,768.71,True,True
3,வாஷிங்டன் நகரம் எப்போது நிறுவப்பட்டது?,ta,0.09,30.46,0.0,1.49,0.02,0.01,1373.29,1405.85,677.32,0.01,2083.35,False,True
4,भारत का संविधान कब लागू हुआ था?,hi,0.09,23.97,0.0,1.36,0.07,0.01,1328.87,1354.29,1.2,0.04,1354.5,True,True
5,What were the primary consequences of the Manhattan Project?,en,0.13,20.4,0.0,1.51,0.05,0.02,1392.57,1414.56,1.2,0.06,1414.82,True,True
6,Manhattan project nuclear research details in 1945,en,0.1,20.72,0.0,1.93,0.05,0.03,1168.9,1191.64,692.01,0.01,1883.84,False,True
7,भारत के गणतंत्र दिवस का महत्व क्या है?,hi,0.09,19.76,0.0,1.57,0.06,0.03,1363.23,1384.65,665.48,0.03,2050.32,False,True
8,George Washington and District of Columbia founding,en,0.09,26.36,0.0,2.16,0.06,0.03,1246.63,1275.24,772.14,0.01,2047.55,False,True
9,Project immediate consequences on atomic age and science,en,0.12,24.72,0.0,1.66,0.04,0.02,1225.57,1252.03,732.27,0.1,1984.62,False,True
10,Doctor Ambedkar and Constitution assembly details,en,0.17,23.73,0.0,1.83,0.04,0.02,1438.19,1463.81,725.27,0.04,2189.37,False,True
11,Manhattan project successful hone ke baad kya hua?,hi,0.11,0.0,0.0,1.89,0.03,0.01,1908.64,1910.58,1.2,0.1,1910.84,True,True
12,ఈ project యొక్క immediate impact ఏమిటి?,te,0.11,0.0,0.0,1.77,0.03,0.01,679.56,681.37,1.2,0.1,681.65,True,True
13,வாஷிங்டன் நகரம் எப்போது நிறுவப்பட்டது?,ta,0.17,0.0,0.0,2.56,0.03,0.03,1456.21,1461.21,734.34,0.02,2195.87,False,True
14,भारत का संविधान कब लागू हुआ था?,hi,0.07,0.0,0.0,1.88,0.04,0.01,1477.73,1479.67,1.2,0.05,1479.86,True,True
15,What were the primary consequences of the Manhattan Project?,en,0.15,0.0,0.0,1.62,0.05,0.02,1590.07,1591.76,1.2,0.07,1592.04,True,True
